#;PSRJ;RAJ;DECJ;P0;S1400;
89;J1833-0827;18:33:40.3;-08:27:31.2;0.085284;3.60;
90;J1812-1733;18:12:15.8;-17:33:37;0.538341;3.30;
91;J0629+2415;06:29:05.7;+24:15:43.3;0.476623;3.20;
92;J0751+1807;07:51:09.1;+18:07:38.6;0.003479;3.20;
93;J0908-1739;09:08:38.1;-17:39:37.6;0.401626;3.20;
94;J1823-1115;18:23:40.3;-11:15:11;0.279829;3.20;
95;J1744-1134;17:44:29.4;-11:34:54.6;0.004075;3.10;
96;J1901-0906;19:01:53.0;-09:06:10.8;1.781928;3.10;
97;J0014+4746;00:14:17.7;+47:46:33.4;1.240699;3.00;
98;J0304+1932;03:04:33.1;+19:32:51.4;1.387584;3.00;
99;J1012+5307;10:12:33.4;+53:07:02.6;0.005256;3.00;
100;J1115+5030;11:15:38.4;+50:30:12.2;1.656440;3.00;
101;J1941-2602;19:41:00.4;-26:02:05.7;0.402858;3.00;
102;J2219+4754;22:19:48.1;+47:54:53.9;0.538469;3.00;
103;J2330-2005;23:30:26.8;-20:05:29.6;1.643622;3.00;
104;J1828-1101;18:28:18.8;-11:01:50.9;0.072052;2.90;
105;J1843-0000;18:43:27.9;-00:00:40.9;0.880330;2.90;
106;J2149+6329;21:49:58.5;+63:29:43.5;0.380140;2.90;
107;J0627+0706;06:27:44.1;+07:06:33.3;0.475877;2.89;
108;J0406+6138;04:06:30.0;+61:38:41.0;0.594576;2.80;
109;J1833-0338;18:33:41.9;-03:39:04.3;0.686704;2.80;
110;J1916+0748;19:16:51.5;+07:48:00;0.541752;2.80;
111;J2006-0807;20:06:16.3;-08:07:01.9;0.580871;2.80;
112;J2051-0827;20:51:07.5;-08:27:37.7;0.004509;2.80;
113;J1845-0743;18:45:57.1;-07:43:38.4;0.104695;2.70;
114;J2240+5832;22:40:42.9;+58:32:37.5;0.139935;2.70;
115;J1806-1154;18:06:06.7;-11:54:28.7;0.522618;2.60;
116;J1808-2057;18:08:06.3;-20:58:08;0.918410;2.60;
117;J1825-1446;18:25:02.9;-14:46:52.6;0.279187;2.60;
118;J1841-0425;18:41:05.6;-04:25:19.5;0.186149;2.60;
119;J2055+3630;20:55:31.3;+36:30:21.4;0.221508;2.60;
120;J0502+4654;05:02:04.5;+46:54:06.0;0.638565;2.50;
121;J0601-0527;06:01:58.9;-05:27:50.5;0.395969;2.50;
122;J1809-1917;18:09:43.1;-19:17:38.1;0.082747;2.50;
123;J1837-0653;18:37:14.6;-06:53:02.1;1.905809;2.50;
124;J0134-2937;01:34:18.6;-29:37:16.9;0.136962;2.40;
125;J1822-2256;18:22:58.9;-22:56:31;1.874269;2.40;
126;J0613-0200;06:13:43.9;-02:00:47.2;0.003062;2.30;
127;J1733-2228;17:33:26.4;-22:28:37;0.871683;2.30;
128;J1753-2501;17:53:30.6;-25:00:25;0.528336;2.30;
129;J1840-0809;18:40:33.3;-08:09:03.3;0.955672;2.30;
130;J1937+2544;19:37:01.2;+25:44:13.6;0.200980;2.30;
131;J0614+2229;06:14:17.1;+22:30:36;0.334960;2.20;
132;J1801-2304;18:01:19.8;-23:04:44.2;0.415827;2.20;
133;J1805-1504;18:05:06.1;-15:04:36;1.181269;2.20;
134;J1835-1106;18:35:18.2;-11:06:15.1;0.165907;2.20;
135;J1844-0538;18:44:05.1;-05:38:34.1;0.255699;2.20;
136;J1852+0031;18:52:27.4;+00:32:02;2.180195;2.20;
137;J2023+5037;20:23:41.9;+50:37:34.8;0.372619;2.20;
138;J2305+3100;23:05:58.3;+31:00:01.7;1.575886;2.20;
139;J0147+5922;01:47:44.6;+59:22:03.2;0.196321;2.10;
140;J1720-2933;17:20:34.1;-29:33:16.2;0.620448;2.10;
141;J1818-1519;18:18:14.6;-15:19:43;0.939690;2.10;
142;J1826-1334;18:26:13.1;-13:34:46.8;0.101487;2.10;
